"RK",TIERS,"PLAYER NAME",TEAM,"POS","BYE WEEK","SOS SEASON","ECR VS. ADP"
"1",1,"Christian McCaffrey",CAR,"RB1","13","2 out of 5 stars","0"
"2",1,"Dalvin Cook",MIN,"RB2","7","3 out of 5 stars","0"
"3",1,"Alvin Kamara",NO,"RB3","6","2 out of 5 stars","+1"
"4",1,"Derrick Henry",TEN,"RB4","13","3 out of 5 stars","-1"
"5",1,"Ezekiel Elliott",DAL,"RB5","7","2 out of 5 stars","0"
"6",1,"Aaron Jones",GB,"RB6","13","0 out of 5 stars","+2"
"7",1,"Davante Adams",GB,"WR1","13","1 out of 5 stars","+3"
"8",2,"Saquon Barkley",NYG,"RB7","10","2 out of 5 stars","-1"
"9",2,"Tyreek Hill",KC,"WR2","12","3 out of 5 stars","+2"
"10",2,"Nick Chubb",CLE,"RB8","13","4 out of 5 stars","-4"
"11",2,"Stefon Diggs",BUF,"WR3","7","3 out of 5 stars","+3"
"12",2,"Jonathan Taylor",IND,"RB9","14","4 out of 5 stars","-3"
"13",2,"Austin Ekeler",LAC,"RB10","7","4 out of 5 stars","0"
"14",2,"Travis Kelce",KC,"TE1","12","3 out of 5 stars","-2"
"15",2,"Calvin Ridley",ATL,"WR4","6","4 out of 5 stars","+6"
"16",2,"DeAndre Hopkins",ARI,"WR5","12","2 out of 5 stars","+1"
"17",2,"Antonio Gibson",WAS,"RB11","9","3 out of 5 stars","-1"
"18",2,"D.K. Metcalf",SEA,"WR6","9","1 out of 5 stars","+1"
"19",2,"Joe Mixon",CIN,"RB12","10","3 out of 5 stars","+1"
"20",2,"Najee Harris",PIT,"RB13","7","5 out of 5 stars","-5"
"21",3,"A.J. Brown",TEN,"WR7","13","3 out of 5 stars","+3"
"22",3,"Justin Jefferson",MIN,"WR8","7","3 out of 5 stars","+1"
"23",3,"Keenan Allen",LAC,"WR9","7","3 out of 5 stars","+5"
"24",3,"Darren Waller",LV,"TE2","8","4 out of 5 stars","+1"
"25",3,"Clyde Edwards-Helaire",KC,"RB14","12","4 out of 5 stars","-3"
"26",3,"Allen Robinson II",CHI,"WR10","10","3 out of 5 stars","+8"
"27",3,"Terry McLaurin",WAS,"WR11","9","3 out of 5 stars","+4"
"28",3,"Patrick Mahomes II",KC,"QB1","12","4 out of 5 stars","-10"
"29",3,"CeeDee Lamb",DAL,"WR12","7","1 out of 5 stars","+7"
"30",3,"J.K. Dobbins",BAL,"RB15","8","4 out of 5 stars","-4"
"31",3,"Chris Carson",SEA,"RB16","9","1 out of 5 stars","-1"
"32",3,"David Montgomery",CHI,"RB17","10","3 out of 5 stars","-3"
"33",3,"D'Andre Swift",DET,"RB18","9","0 out of 5 stars","0"
"34",3,"George Kittle",SF,"TE3","6","4 out of 5 stars","-7"
"35",4,"Mike Evans",TB,"WR13","9","2 out of 5 stars","+2"
"36",4,"Robert Woods",LAR,"WR14","11","5 out of 5 stars","+6"
"37",4,"Chris Godwin",TB,"WR15","9","2 out of 5 stars","+3"
"38",4,"Amari Cooper",DAL,"WR16","7","1 out of 5 stars","+5"
"39",4,"James Robinson",JAC,"RB19","7","4 out of 5 stars","+19"
"40",4,"Darrell Henderson",LAR,"RB20","11","4 out of 5 stars","+5"
"41",4,"Miles Sanders",PHI,"RB21","14","3 out of 5 stars","-3"
"42",4,"Josh Allen",BUF,"QB2","7","1 out of 5 stars","-7"
"43",4,"Julio Jones",TEN,"WR17","13","3 out of 5 stars","-2"
"44",4,"D.J. Moore",CAR,"WR18","13","5 out of 5 stars","+10"
"45",4,"Cooper Kupp",LAR,"WR19","11","5 out of 5 stars","+3"
"46",4,"Josh Jacobs",LV,"RB22","8","2 out of 5 stars","-14"
"47",4,"Tyler Lockett",SEA,"WR20","9","1 out of 5 stars","+5"
"48",4,"Mike Davis",ATL,"RB23","6","2 out of 5 stars","+9"
"49",4,"Diontae Johnson",PIT,"WR21","7","2 out of 5 stars","+7"
"50",4,"Kareem Hunt",CLE,"RB24","13","4 out of 5 stars","0"
"51",4,"Adam Thielen",MIN,"WR22","7","3 out of 5 stars","-2"
"52",4,"Myles Gaskin",MIA,"RB25","14","4 out of 5 stars","-5"
"53",4,"Kyler Murray",ARI,"QB3","12","2 out of 5 stars","-14"
"54",4,"Mark Andrews",BAL,"TE4","8","4 out of 5 stars","-3"
"55",4,"T.J. Hockenson",DET,"TE5","9","4 out of 5 stars","-2"
"56",4,"Kyle Pitts",ATL,"TE6","6","2 out of 5 stars","-10"
"57",4,"Lamar Jackson",BAL,"QB4","8","2 out of 5 stars","-13"
"58",5,"Brandon Aiyuk",SF,"WR23","6","5 out of 5 stars","+3"
"59",5,"Tee Higgins",CIN,"WR24","10","2 out of 5 stars","+11"
"60",5,"Javonte Williams",DEN,"RB26","11","5 out of 5 stars","+5"
"61",5,"Dak Prescott",DAL,"QB5","7","2 out of 5 stars","-6"
"62",5,"Chase Edmonds",ARI,"RB27","12","3 out of 5 stars","0"
"63",5,"Damien Harris",NE,"RB28","14","3 out of 5 stars","+10"
"64",5,"Kenny Golladay",NYG,"WR25","10","3 out of 5 stars","0"
"65",5,"Odell Beckham Jr.",CLE,"WR26","13","1 out of 5 stars","+3"
"66",5,"Russell Wilson",SEA,"QB6","9","0 out of 5 stars","-7"
"67",5,"Raheem Mostert",SF,"RB29","6","3 out of 5 stars","-1"
"68",5,"Chase Claypool",PIT,"WR27","7","2 out of 5 stars","+1"
"69",5,"Aaron Rodgers",GB,"QB7","13","2 out of 5 stars","-6"
"70",5,"Ja'Marr Chase",CIN,"WR28","10","2 out of 5 stars","-3"
"71",5,"Melvin Gordon III",DEN,"RB30","11","5 out of 5 stars","+4"
"72",5,"Ronald Jones II",TB,"RB31","9","0 out of 5 stars","-1"
"73",5,"Justin Herbert",LAC,"QB8","7","2 out of 5 stars","-13"
"74",5,"Trey Sermon",SF,"RB32","6","3 out of 5 stars","+10"
"75",5,"Michael Carter",NYJ,"RB33","6","4 out of 5 stars","+3"
"76",5,"Jerry Jeudy",DEN,"WR29","11","4 out of 5 stars","+6"
"77",5,"JuJu Smith-Schuster",PIT,"WR30","7","2 out of 5 stars","-1"
"78",5,"Courtland Sutton",DEN,"WR31","11","4 out of 5 stars","+1"
"79",5,"Robby Anderson",CAR,"WR32","13","5 out of 5 stars","+2"
"80",5,"Noah Fant",DEN,"TE7","11","4 out of 5 stars","-3"
"81",5,"Tyler Boyd",CIN,"WR33","10","2 out of 5 stars","+10"
"82",5,"James Conner",ARI,"RB34","12","3 out of 5 stars","+13"
"83",6,"Ryan Tannehill",TEN,"QB9","13","2 out of 5 stars","+10"
